F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
-4.14,0,-3.7322,2842.11,0,2.059,3.7816,-4.808,5776.64,-11.8404,-5426.24,53.84,8.359,-7.496,-3787.02,-96977.84,-11.1912,9138.33,267.91,,True
-4.14,0,-5.982,2191.41,1,2.571,3.1656,-3.7915,8263.8,-14.055,-5461.57,35.6912,8.268,-8.128,-1719.36,-94437.8,-11.9349,9556.98,228.81,,False
-1.14,1,-4.0168,2254.44,1,1.4072,3.03719,-5.851,9594.24,-10.68876,-5431.09,57.8,8.1166,-5.5672,-3609.76,-96908.182,-11.3808,3406.53,-86.89,,False
-1.14,1,-5.0208,2022.126,1,1.7187,9.039,-4.2867,8096.64,-11.9565,-5477.77,114.92,10.372,-5.0366,-3579.36,-96590,-15.228,9750.666,18.61,,False
-4.14,0,-7.784,2013.726,1,2.67,2.964315,-4.3461,9059.04,-10.69641,-5417.16,48.086,7.60352,-8.55,-3465.56,-96949.2,-12.3765,10367.73,50.99,-12.05,False
-1.14,1,-3.27026,3441.51,0,1.1866,3.4998,-3.8921,9019.44,-12.795,-5459.36,48.012,8.4038,-6.324,-619.36,-96920.248,-12.7977,9136.23,-361.79,-12.07,False
-1.14,0,-4.7774,1941.78,1,1.8704,3.2509,-3.7921,3624.64,-13.749,-4453.53,55.7,7.665,-4.51,-2319.16,-96919.806,-11.022,9690.36,-155.39,-12.55,True
-1.14,0,-3.5226,2128.62,1,1.9418,3.906,-3.8783,9435.64,-17.547,-6308.93,39.68,7.59904,-4.63,-647.36,-96940.14,-10.85574,9649.41,53.6,-11.78,False
-4.14,1,-3.9454,2121.81,1,3.426,3.05793,-3.7337,9255.84,-16.098,-5572.93,40.384,8.3342,-6.83,-3766.8,-96932.056,-11.2314,9977.04,210.64,-13.56,True
-4.14,0,-3.5176,2885.61,0,3.424,4.207,-5.256,8455.298,-23.265,-5385.59,89.92,10.134,-5.0918,-3734.36,-96942.66,-16.068,9717.09,159.49,,False
-1.14,0,-5.638,2269.65,0,1.2264,4.634,-3.7514,3800.64,-19.779,-5325.63,69.54,8.2128,-4.7832,-2856.56,-96921.96,-10.9668,9678.9,1067.81,,True
-1.14,0,-7.098,2102.94,1,4.612,7.152,-6.379,6122.64,-11.2377,-4861.83,44.46,8.6326,-4.567,-4202.16,-96939.98,-11.2632,12186.63,213.5,-14.47,True
-1.14,0,-4.2586,1719.81,1,2.973,2.9600023,-4.0082,8335.4,-19.212,-9125.63,44.504,8.967,-4.37666,-3139.96,-96694.6,-17.631,9899.52,92.67,,True
-4.14,0,-5.962,2186.82,0,2.315,3.1082,-4.1565,7748.04,-16.401,-5776.83,84.62,8.5466,-4.5252,-4128.38,-96758.26,-11.9823,9824.91,343.01,-14.69,True
-4.14,0,-4.8716,2188.53,0,2.858,5.806,-4.0542,8226.44,-10.9935,-5415.11,38.974,8.1654,-6.408,-3964,-96870.86,-11.7504,10272.03,207.44,,False
-1.14,1,-3.7138,2898.21,0,1.09347,3.4216,-4.5503,8717.84,-17.142,-5681.93,42.984,9.944,-5.5928,-3061.36,-96934.35,-12.3369,9510.99,1526.61,,False
-1.14,1,-5.454,1982.31,0,1.2773,2.968799,-4.287,7970.24,-12.231,-5432.46,66.98,7.57582,-7.73,-3995.06,-96505.8,-13.668,10228.83,-74.89,-12.37,True
-1.14,0,-3.8412,1815.96,0,1.5525,3.6856,-5.547,8623.66,-15.453,-7224.63,135.1,9.994,-4.39968,-3771.48,-96696.8,-15.09,9910.38,102.91,-13.32,False
-1.14,1,-4.904,2121.84,1,1.6456,3.6948,-3.7731,7465.84,-14.904,-5708.23,74.14,8.0304,-5.0326,322.64,-96843.2,-12.6492,9547.17,53.43,,True
-1.14,0,-6.252,2097.39,0,1.09305,2.9604221,-3.9219,8073.84,-10.836,-6347.83,64.46,8.9562,-4.568,-4416.56,-97140.6,-15.477,12250.83,2542.61,,True
-1.14,1,-3.25838,5088.81,1,1.3332,2.962075,-3.7779,8897.24,-11.6355,-5456.008,51.928,8.9572,-8.53,-4695.16,-96850.68,-11.8236,10288.83,977.01,,False
-1.14,0,-9.776,2066.277,0,2.267,3.0912,-3.8235,8403.26,-15.009,-5439.803,53.272,7.53158,-11.466,-2212.56,-99219.8,-12.9453,9683.55,135.881,,False
-1.14,0,-5.656,2116.59,1,2.078,3.2035,-4.94,8496.74,-11.8374,-5199.73,38.328,8.019,-4.508,-4047.54,-96940.16,-23.316,10431.63,302.41,-11.52,False
-1.14,1,-4.5676,1983,1,1.3204,3.2182,-4.0479,8177.44,-12.3384,-5373.54,43.314,8.5872,-5.2224,-2920.76,-96997.66,-16.737,9469.23,-475.49,,False
-4.14,0,-4.509,2215.17,1,2.467,4.514,-7.449,6292.64,-18.981,-5444.406,54.934,7.51624,-7.474,-3843.66,-96952.42,-11.4387,9660.6,119.169,,False
-1.14,0,-3.7886,1557.51,0,1.9811,3.5564,-3.9823,8049.04,-12.8871,-5459.4,63.36,7.60908,-6.308,-4480.56,-96872.94,-15.99,10385.73,42.37,,True
-1.14,1,-3.32492,6303.81,1,1.5476,3.304,-5.053,8749.84,-13.581,-5521.84,46.224,10.982,-7.806,-3334.76,-96889.74,-14.292,9015.03,587.31,,True
-4.14,0,-3.9348,2227.62,0,2.181,2.9600297,-5.479,8509.98,-12.6873,-5438.119,38.542,7.9298,-10.18,-3670.56,-96986.94,-16.239,9403.83,84.05,,False
-4.14,1,-3.3132,1423.71,0,1.547,2.99978,-4.0123,7354.44,-20.223,-6202.63,150.88,10.498,-4.7132,-2301.96,-98246.6,-12.0648,9721.05,-106.09,-12.44,False
-1.14,0,-3.31818,4817.91,1,2.588,3.071,-4.0973,7468.04,-12.3318,-5318.83,59.34,10.812,-4.896,-3656.96,-96920.154,-12.1011,9364.23,237.41,,True
-1.14,1,-4.5512,2223.87,1,1.4012,3.4441,-3.73583,8732.64,-11.0985,-5412.97,36.6576,7.714,-9.38,-2456.76,-96885.12,-13.3695,9662.64,367.11,,False
-1.14,1,-8.3,1969.35,1,4.705,3.1306,-3.862,6442.64,-11.5908,-5200.03,39.386,8.2596,-4.5746,-6037.36,-96890.94,-12.3009,11508.33,103.91,-11.94,False
-4.14,1,-7.696,2078.19,1,1.7466,2.9604932,-4.3882,7903.24,-12.4212,-5520.56,67.12,9.938,-8.698,-4156.56,-96932.924,-14.598,10272.33,439.31,-13.39,True
-1.14,0,-3.7838,2867.01,1,1.9147,3.1248,-4.836,7708.04,-15.687,-5548.83,66.58,7.54602,-7.798,-3737.16,-97060.32,-13.809,9630.24,424.41,-13.88,True
-4.14,0,-3.26348,6084.81,1,1.1518,3.05122,-5.215,8224.84,-15,-5510.06,43.85,10.37,-4.5294,-3903.88,-96930.26,-14.502,9699.06,1774.61,-10.86,False
-4.14,0,-3.3564,1608.81,1,2.226,3.2641,-3.8038,9794.44,-11.6271,-5410.37,35.49198,9.2408,-5.9758,-3552.16,-96624.8,-11.0469,10486.83,116.93,,False
-1.14,0,-4.4348,2306.97,0,1.4238,3.01764,-4.2764,8284,-13.821,-6721.63,81.84,7.5023,-4.43386,-3692.56,-96982.3,-21.039,9711.42,588.21,,True
-4.14,1,-3.956,2670.21,1,1.2268,2.97171,-5.519,7002.04,-11.0121,-5556.83,44.444,9.874,-5.1306,-3668.16,-96895.56,-11.9097,6643.53,564.61,,False
-4.14,1,-4.4582,2190.63,1,2.458,7.437,-3.9494,6874.24,-11.2932,-5266.03,42.636,9.0098,-4.5314,-6351.36,-97021.04,-12.3072,12105.33,333.51,-12.62,False
-4.14,1,-3.30354,3075.51,1,1.2154,3.1109,-4.2062,7940.44,-20.274,-5641.23,42.838,8.621,-5.5094,-4051.48,-96896.78,-13.659,9845.73,1010.31,,True
-4.14,1,-3.4752,2024.751,1,1.5695,3.6726,-5.826,-2151.36,-11.7966,-5421.55,55.48,7.8678,-4.7994,-3922.994,-96862.7,-10.86417,9903.57,44,-10.88,False
-4.14,1,-3.31716,5565.81,1,2.353,2.963394,-5.106,8619.88,-18.531,-5543.6,91.46,9.778,-7.098,-3489.56,-96905.458,-14.619,9573.18,299.61,,True
-4.14,0,-7.368,2090.19,1,1.1612,3.7465,-4.1342,8316.96,-12.3051,-5577.73,37.1548,8.9294,-7.594,-2468.36,-96937.94,-10.83012,9234.33,433.61,,True
-4.14,0,-4.472,2439.51,0,1.5342,3.4191,-6.136,8104.64,-12.4797,-5480.48,46.032,8.0296,-6.666,-3921.402,-98584.4,-12.4191,9654.63,681.11,-14.52,True
-1.14,0,-6.302,2057.499,0,1.3271,2.964711,-4.99,5226.64,-11.8038,-5629.23,58.34,9.648,-5.4978,-3674.36,-96912.684,-10.9668,9619.44,118.844,-14.04,True
-1.14,0,-3.27658,6786.81,0,2.278,3.1374,-4.3059,4936.64,-12.06,-6093.03,43.56,8.7864,-4.804,-3436.16,-96872.02,-11.5245,8924.13,339.71,,True
-1.14,1,-3.7524,1864.71,0,1.267,4.723,-3.8121,8111.84,-14.28,-5433.17,85.92,7.7002,-4.7252,-5665.96,-96877.7,-13.899,10181.13,371.51,-12.07,True
-4.14,0,-4.9032,2148.39,1,1.5805,3.05827,-4.1885,8330.48,-12.7659,-5901.93,43.248,9.1758,-5.1284,-3687.16,-96885.08,-17.334,9977.28,482.01,,True
-4.14,0,-4.1142,1553.31,0,1.1398,3.7335,-4.5183,3472.64,-10.75173,-5668.33,50.808,8.4248,-6.1244,-3716.56,-96926.94,-11.0466,13987.53,-1045.39,,True
-4.14,0,-3.7864,1788.57,0,2.21,2.98685,-5.334,4138.64,-13.1913,-4846.93,54.444,9.612,-4.4474,-3907.72,-96989.26,-11.2299,9876.27,-3.29,-13.84,True
-1.14,0,-6.58,2032.608,1,1.0651,5.322,-4.3678,6896.84,-14.256,-5604.83,60.2,9.0698,-7.148,-3043.16,-96899.152,-11.6394,9600.06,-1048.39,-13.07,True
-1.14,0,-3.8404,2174.16,0,2.88,3.4265,-4.6446,7932.24,-12.1413,-5401.68,41.62,8.227,-8.886,-3692.96,-96926.76,-14.418,9380.73,69.42,-14.17,True
-4.14,1,-6.912,2137.65,0,1.5907,3.9086,-4.902,6775.84,-11.5806,-5310.93,69.24,8.6902,-4.7712,-3466.76,-97036.64,-11.8116,8046.03,29.44,-13.31,False
-4.14,1,-11.116,2061.825,0,1.627,7.191,-3.9356,7910.24,-15.228,-5652.03,58.04,8.4342,-5.7366,-4606.16,-97543.8,-13.4865,10014.45,531.11,-14.68,True
-1.14,1,-6.888,1949.61,0,1.6203,3.03506,-3.8575,8670.24,-13.521,-5453.78,42.686,7.6968,-5.557,-3872.86,-96940.66,-12.8181,10246.83,-23.99,,False
-4.14,0,-5.682,1928.73,0,2.297,3.0786,-3.7629,9034.24,-13.1076,-5433.25,35.59188,9.3132,-5.796,-2285.96,-96866.96,-11.4921,10090.23,23.71,-13.16,False
-4.14,0,-9.276,2071.89,1,1.5193,3.00546,-4.786,9184.04,-10.9992,-7758.63,44.014,7.8806,-4.39554,-3277.56,-96913.988,-12.261,8006.13,201.89,-12.81,True
-4.14,1,-5.644,1953.54,0,1.793,3.05596,-4.321,8119.64,-13.14,-6073.33,46.09,8.118,-4.7152,-3766.16,-96915.452,-15.582,10122.33,80.73,,True
-1.14,1,-3.5708,3542.01,0,1.2176,3.0626,-4.0647,4598.64,-10.9671,-5547.83,45.084,8.5876,-4.38922,-3463.76,-97068.36,-11.0661,7449.33,1240.61,,True
-4.14,0,-3.3914,1550.01,1,1.2648,3.03984,-4.2485,7204.24,-11.6538,-5423.48,45.118,7.9712,-5.1192,-3694.16,-96970.16,-12.408,9920.16,-343.99,,False
-4.14,1,-4.234,2049.888,1,3.376,3.4332,-3.7789,8482.3,-13.356,-5423.5,48.026,8.3964,-7.802,3152.64,-96921.34,-12.9843,9134.43,11.11,,True
-4.14,0,-5.45,2233.74,0,1.3523,2.961537,-3.9287,1268.64,-11.331,-5638.63,44.754,13.45,-5.7508,-1853.36,-96916.145,-10.75884,8116.83,478.51,,True
-4.14,1,-5.578,2284.56,0,2.127,3.2799,-3.8298,7476.64,-11.4732,-5609.93,66.04,9.3346,-5.8004,-1415.36,-96720.62,-12.7911,8243.43,305.01,-13.13,True
-1.14,0,-4.5888,2513.91,0,2.18,3.0716,-4.0333,8875.24,-11.9664,-5439.02,38.914,7.55498,-9.878,-2686.96,-96913.182,-11.1282,8626.53,299.41,,False
-1.14,0,-8.684,2112.99,1,1.7562,3.04339,-3.9873,6521.04,-10.9896,-5802.93,102.06,7.7428,-5.0574,-2967.56,-96895.46,-11.2785,8499.33,374.41,,True
-4.14,1,-9.666,2058.684,0,1.8239,4.993,-4.6152,8740.64,-11.742,-5510.73,44.892,10.682,-9.95,-3881.42,-97183.4,-12.9063,10576.83,402.11,-15.23,True
-4.14,1,-3.994,2471.01,0,1.5132,4.308,-6.005,9070.84,-14.607,-5450.566,81.1,7.64214,-5.3412,-3576.96,-96976.26,-13.0272,9310.53,86.89,,False
-4.14,1,-6.214,2307.15,0,1.2347,3.02747,-4.731,8822.24,-10.76808,-5448.3604,61.52,10.256,-8.772,-3404.76,-96822.1,-15.084,3448.53,1358.61,,False
-4.14,0,-8.712,1975.44,1,4.432,2.960444,-4.3482,9281.44,-14.184,-5505.6,38.068,9.1832,-5.1014,-3914.5,-96926.664,-11.343,10189.83,102.65,,False
-4.14,0,-5.1028,2223.33,0,4.544,2.963501,-4.252,5746.64,-12.9381,-5428.22,58.76,9.814,-4.7884,-3511.56,-96936.486,-11.1573,9444.63,153.05,-13.33,False
-1.14,0,-7.878,2055.609,0,1.8689,3.2642,-5.655,8559.96,-13.833,-7554.63,35.834,8.492,-4.41082,-3623.36,-96940.12,-16.377,9622.68,135.327,,False
-4.14,0,-6.944,2013.285,1,1.122,3.1917,-6.153,2106.64,-18.234,-5577.13,54.014,8.1548,-7.364,-3997.94,-96906.658,-11.0049,9955.68,1041.21,-13.46,True
-4.14,0,-4.0052,2515.71,1,4.701,3.0273,-3.72702,7764.64,-10.8894,-6571.63,41.764,9.986,-4.5236,-1277.36,-96875.32,-13.0368,8903.73,191.39,-11.41,True
-1.14,0,-3.98,2873.61,0,1.3659,2.961137,-6.729,3762.64,-18.807,-5012.13,46.784,7.7168,-4.453,-3876.26,-97040.08,-11.1528,9590.76,702.71,,True
-1.14,1,-4.0666,2583.21,1,1.4252,3.6516,-4.893,7788.44,-15.663,-5770.03,39.128,8.4266,-5.5364,-3583.56,-96955.28,-13.2675,9566.13,655.21,-15.52,True
-4.14,1,-3.6494,2292.39,1,1.5648,2.98306,-5.088,8083.44,-10.71294,-5280.13,78.9,10.958,-4.35502,-3779.22,-97005.68,-15.249,8206.83,94.9,,False
-4.14,1,-5.0606,1860.63,0,3.469,3.4677,-5.699,8480.9,-12.5244,-5806.13,47.134,7.918,-5.154,-3821.82,-96973.78,-14.25,10335.93,95.92,,True
-1.14,0,-3.807,3304.11,0,2.055,2.98514,-5.454,8640.16,-13.749,-7291.63,69.16,8.7854,-4.39862,-3697.96,-96895.28,-16.932,9391.23,535.71,-11.96,False
-1.14,0,-4.961,1897.26,1,3.673,3.4862,-3.8386,8457.632,-11.1939,-5437.4,41.776,8.436,-4.5588,-4533.76,-96928.838,-16.518,11939.13,117.48,,False
-1.14,1,-10.54,2048.409,1,1.7273,3.2419,-3.821,8089.44,-12.5916,-5316.43,54.61,9.724,-5.4772,-1407.36,-96918.154,-16.188,9276.03,-114.49,,False
-4.14,1,-3.6642,2238.03,1,1.1806,3.7085,-4.958,8750.44,-11.6154,-5413.87,54.184,10.02,-6.1028,-3710.76,-96447.8,-11.6034,9575.67,62.99,,False
-1.14,1,-3.421,3644.01,0,1.6151,3.439,-5.794,8107.44,-15.678,-5512.73,84.94,12.032,-9.038,-4012.44,-96879.1,-13.986,9898.53,757.41,,True
-4.14,1,-5.758,2065.833,0,2.199,4.258,-4.0301,8061.24,-13.482,-5489.09,162.06,12.338,-11.562,-3941.0622,-97033.06,-15.453,10017.84,237.11,,True
-1.14,1,-5.528,2159.28,1,1.9174,3.03321,-4.0475,8321.86,-11.514,-5601.83,39.198,8.5334,-5.7508,-3789.98,-96895.42,-16.554,10075.83,369.01,-14.72,True
-4.14,1,-6.716,2083.44,1,1.06196,2.962248,-5.859,8489.08,-10.8771,-5505.8,36.9046,8.074,-8.424,-3920.752,-96878.96,-17.433,11709.63,3329.61,,True
-1.14,1,-4.5988,1597.71,1,1.2511,2.9602248,-4.3202,8573.14,-10.69404,-5682.23,38.202,9.086,-5.5296,-3579.76,-96970.68,-19.881,17929.53,-666.59,,True
-1.14,0,-8.812,2042.0904,0,1.09758,3.0758,-3.8295,8665.44,-11.9106,-5832.23,43.674,8.8252,-5.067,-4187.56,-96943.14,-19.296,10922.43,2480.61,-12.09,False
-4.14,1,-8.988,2082.36,0,1.3189,2.968525,-3.7622,8532.16,-12.5565,-5427.2,80.62,9.2864,-7.486,-5043.36,-96925.82,-13.629,10107.03,741.31,-13.11,False
-4.14,0,-4.411,1917.87,0,2.389,3.1368,-6.457,8192.64,-12.6555,-5587.43,38.924,7.8378,-4.35762,-4017.78,-96627.6,-14.145,10476.93,153.98,-13.25,True
-4.14,0,-7.41,1977.33,0,1.1739,3.1447,-5.983,7206.64,-13.749,-5311.13,45.962,8.7066,-4.6008,-4009.74,-96917.433,-12.078,10177.53,-363.99,-12.53,True
-4.14,0,-4.5576,2208.45,0,1.4878,3.237,-3.7067,6807.44,-15.147,-5586.93,92.02,7.7818,-6.716,-6441.36,-96069.2,-11.6136,9969.87,697.71,-13.99,True
-1.14,1,-5.804,2050.278,1,2.273,3.8925,-3.8855,7978.04,-11.4279,-5594.63,36.351,9.634,-6.246,-2180.76,-96998.42,-11.7006,9654.72,132.559,-12.56,True
-4.14,1,-3.4416,3160.71,1,3.568,3.01667,-4.756,6884.24,-13.1853,-5419.89,38.168,8.9164,-5.518,-4111.5,-96933.98,-11.403,9950.76,217.84,-13.49,False
-1.14,0,-5.454,2120.19,0,1.1559,3.4044,-4.77,8496.86,-13.1049,-5443.976,44.63,9.798,-5.7158,-4198.76,-96956.24,-15.798,10280.43,1695.61,,False
-1.14,1,-3.8534,2789.61,0,1.6502,4.457,-8.215,2594.64,-10.9368,-6117.43,56.88,9.2832,-4.8944,-3873.54,-96882.64,-11.0034,8004.33,551.61,,True
-1.14,1,-5.912,2144.88,1,1.3487,4.264,-4.2332,9289.44,-20.463,-5447.9403,38.866,9.0818,-7.242,-2518.96,-96875.68,-12.0159,9595.5,-42.49,-12.67,False
-1.14,1,-7.006,1997.01,0,2.81,4.63,-3.7542,7878.04,-10.8918,-5826.93,36.0952,9.4312,-4.9746,-2884.56,-98449.2,-13.3536,11796.63,119.126,-15.12,True
-1.14,0,-4.5478,2190.72,1,1.2129,2.9602682,-5.165,8797.44,-13.473,-5358.3,37.912,9.784,-8.114,-3691.96,-96904.68,-16.218,9548.55,-20.89,-12.55,False
-4.14,0,-6.124,2076.21,0,1.5025,3.3155,-4.837,8319.64,-11.7675,-6400.73,71.26,9.4546,-4.647,-3435.76,-96864.58,-23.745,9121.23,85.74,-15.8,True
-1.14,0,-3.26992,6009.81,1,3.617,3.1685,-3.9776,8345.18,-14.694,-5459.38,76.34,9.2622,-11.694,-3872.28,-96925.504,-14.82,9748.455,244.71,,True
-1.14,0,-3.7194,3699.21,0,1.199,3.2557,-6.269,13118.64,-17.061,-5506.44,49.926,7.727,-9.61,-3683.36,-96866.52,-10.9398,9468.63,2257.61,,False
-4.14,1,-4.349,2095.05,0,1.1994,3.1701,-3.70893,7743.04,-11.7231,-6190.83,60.04,8.2062,-4.5322,-3860.5,-96947.96,-13.0245,10286.13,653.71,,True
-4.14,1,-5.78,2045.799,0,1.2305,3.0488,-4.6207,8494.16,-11.4948,-5536.28,40.702,10.08,-6.776,-3981.02,-97017.32,-16.596,10969.83,799.51,,True
-4.14,0,-4.9914,2066.334,1,1.6783,3.1931,-3.8126,10401.84,-11.082,-5794.43,42.106,7.7888,-5.1594,-1665.36,-97054.22,-11.3742,10379.13,270.71,,True
-1.14,1,-4.0282,2703.81,0,1.6749,2.9705,-4.5756,8790.84,-15.105,-5458.55,74.52,8.4806,-10.73,-3411.96,-96689.4,-11.259,9465.63,413.41,-11.55,False
-4.14,1,-8.236,2032.347,1,1.6561,2.964479,-3.8349,10181.44,-12.8667,-5350.02,69.04,8.4428,-5.0178,-743.36,-96933.056,-10.9122,9456.33,-141.49,,False
-1.14,0,-3.4188,2583.21,1,2.022,3.05445,-5.861,7957.04,-11.9058,-5844.53,38.054,8.7504,-5.1418,-3606.96,-96894.98,-15.099,8769.93,57.85,-12.99,True
-4.14,0,-4.569,2458.41,0,1.5916,2.97048,-4.265,9030.44,-13.29,-5546.54,53.05,7.7556,-6.892,-2923.36,-96914.394,-12.4257,9267.33,526.31,-12.7,False
-1.14,0,-6.044,2067.564,0,1.2302,3.1343,-6.317,8199.24,-10.7937,-6271.63,51.346,10.46,-4.9658,-3636.36,-97002.66,-16.869,6376.53,-24.29,-13.45,True
-1.14,0,-9.044,1996.02,0,1.2597,3.01704,-5.02,7955.24,-11.5962,-5731.73,60.82,8.6332,-5.5998,-3780.12,-96851.5,-12.7203,10611.03,-59.49,-13.88,True
-4.14,0,-6.406,1957.14,0,1.8868,2.965814,-4.1795,7476.84,-14.322,-5428.2,39.74,8.7908,-5.3124,-3841.72,-96897.14,-13.026,9947.94,-58.19,,True
-1.14,0,-5.848,2058.852,1,3.45,3.6936,-4.1915,9015.04,-11.415,-5616.73,50.4,7.8236,-6.324,-2678.96,-96899.874,-11.3895,9084.03,116.71,-12.25,False
-4.14,0,-3.5776,2190.12,1,3.063,3.8004,-3.8341,10714.64,-15.717,-5761.13,71.24,11.294,-4.6686,-4231.76,-97026.28,-11.2386,10015.26,219.53,,True
-4.14,1,-5.402,2158.77,0,1.1046,3.05193,-4.722,8588.56,-11.5464,-5403.92,39.326,9.654,-5.118,-3961.36,-96958.02,-17.349,10274.73,2054.61,-11.4,False
-1.14,1,-7.016,2001.45,0,1.6991,3.3556,-5.335,8860.24,-15.912,-5663.43,52.188,7.803,-6.1232,-3688.56,-96881.74,-13.1187,9880.53,127.9649,-13.74,False
-1.14,1,-3.9762,2283.15,1,1.7438,3.0832,-5.165,8229.24,-14.988,-6003.03,46.176,10.26,-4.6718,-4053.56,-97029.72,-18.531,9978.51,446.81,-14.47,True
-1.14,1,-6.124,2090.91,1,2.939,4.452,-4.843,8547.78,-12.9027,-5307.83,39.432,7.7262,-5.1236,-3543.16,-96880.26,-13.989,9421.23,93.49,-12.66,False
-4.14,1,-10.374,1993.8,0,5.605,3.2887,-4.5854,8060.24,-11.3337,-5487.44,36.8644,10.114,-11.934,-3896.76,-96863.7,-17.493,11136.93,107.97,-14.46,True
-4.14,1,-3.9484,2162.64,1,1.8304,3.1076,-4.858,7952.24,-13.4427,-5434.77,176.08,8.9424,-6.564,-3685.96,-96890,-14.253,9579.27,49.67,,False
-4.14,0,-3.6738,2322.81,1,2.116,3.01782,-4.4335,7908.44,-11.109,-6346.43,40.986,7.8464,-4.6326,-4148.16,-96946.16,-14.382,11457.93,340.71,,True
-1.14,0,-5.282,1893.69,0,3.365,2.97886,-5.057,8795.04,-14.655,-5654.53,47.736,7.62694,-4.9292,-3708.96,-96887,-16.872,10014.63,87.92,-10.89,False
-4.14,1,-3.30312,4790.31,1,1.0763,3.1383,-4.857,8742.44,-11.2743,-5629.53,37.738,9.1372,-5.1338,-4033.82,-96887.66,-13.95,10691.13,5152.61,-10.65,False
-1.14,0,-3.728,879.81,0,2.896,3.6795,-5.079,8935.24,-11.3592,-5856.43,76.92,8.8808,-4.9408,-3744.02,-96969.74,-12.975,11750.43,4.41,,False
-1.14,1,-6.422,2076.75,0,1.8661,4.312,-4.6482,7759.64,-13.962,-5393.65,47.976,7.964,-8.438,-4262.16,-96989.54,-12.2094,10062.6,259.61,,True
-1.14,0,-3.7276,2200.5,0,3.583,3.2442,-4.686,8482.98,-12.9078,-5434.08,81.54,9.766,-7.726,-4304.36,-96903.174,-11.4114,10444.53,210.6,,False
-4.14,0,-6.686,1981.89,1,1.6072,3.3919,-3.8678,5288.64,-20.649,-5973.93,42.934,8.7212,-4.7958,-3127.76,-96947.04,-10.9908,9851.82,53.63,-14.18,True
-4.14,1,-5.0742,2166.78,1,1.8631,5.916,-4.5576,4762.64,-14.793,-5432.85,43.274,10.252,-5.9384,-4322.16,-96871.98,-11.1471,9992.88,383.21,-14.93,False
-1.14,1,-9.71,2091.39,0,1.5436,2.96089,-4.2588,8061.64,-15.234,-5204.63,46.606,8.0402,-4.4558,-4722.16,-96895.1,-14.949,10023.12,693.71,-13.71,True
-4.14,1,-3.369,2465.61,0,2.162,4.13,-4.3646,8233.24,-21.963,-5713.83,66.62,9.3966,-5.5108,-3477.36,-96887.98,-11.8296,9781.041,205.03,-14.88,True
-1.14,0,-3.9218,2882.01,0,2.042,3.1538,-3.893,3998.64,-11.5623,-5393.24,44.564,8.1184,-4.88,-3430.96,-96975.62,-11.0346,8804.43,370.61,-11.94,True
-1.14,0,-5.846,2045.028,0,2.85,3.6804,-3.8924,7913.44,-12.126,-5659.63,47.384,9.936,-6.1368,-1187.36,-96978.22,-13.845,9244.83,81.57,,True
